"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: allocationSize"
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.90","sample",16,1,"19496960,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.95","sample",16,1,"27197440,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.99","sample",16,1,"42991616,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.999","sample",16,1,"63656165,376000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.9999","sample",16,1,"89195911,577599",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p1.00","sample",16,1,"103022592,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect","sample",16,4298,"74838147,514193","1365716,892599","ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.00","sample",16,1,"22544384,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.50","sample",16,1,"73400320,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.90","sample",16,1,"111017984,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.95","sample",16,1,"121372672,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.99","sample",16,1,"142606336,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.999","sample",16,1,"170577362,944000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.9999","sample",16,1,"210501632,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p1.00","sample",16,1,"210501632,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,9234506,"1145,698585","143,295148","ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"93,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"149,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"177,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"190,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"225,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"305,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"12072,788800",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"41222144,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,8374413,"1179,632752","146,739409","ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"124,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"183,000000",NaN,"ns/op",1
